Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SPY,13/01/2006,128.68,126.10,124.55,1.56,1.03,63.43,60.94
SPY,20/01/2006,125.97,126.08,124.68,1.40,1.08,55.55,59.79
SPY,27/01/2006,128.54,126.53,125.05,1.48,1.13,60.53,59.46
SPY,03/02/2006,126.27,126.48,125.17,1.32,1.15,54.73,59.45
SPY,10/02/2006,126.64,126.51,125.31,1.20,1.16,55.47,57.94
SPY,17/02/2006,128.81,126.93,125.64,1.29,1.18,59.65,57.19
SPY,24/02/2006,129.41,127.38,126.00,1.38,1.20,60.74,58.22
SPY,03/03/2006,128.76,127.63,126.26,1.37,1.22,58.89,57.90
SPY,10/03/2006,128.59,127.80,126.48,1.32,1.23,58.39,58.63
SPY,17/03/2006,130.62,128.32,126.88,1.44,1.26,62.46,60.03
SPY,24/03/2006,130.21,128.66,127.19,1.47,1.29,61.16,60.33
SPY,31/03/2006,129.83,128.87,127.45,1.43,1.30,59.93,60.17
SPY,07/04/2006,129.54,128.99,127.65,1.35,1.31,58.96,60.18
SPY,13/04/2006,128.71,128.94,127.75,1.20,1.30,56.17,59.74
SPY,21/04/2006,131.15,129.34,128.07,1.27,1.29,61.86,59.62
SPY,28/04/2006,131.47,129.73,128.39,1.34,1.30,62.54,59.89
SPY,05/05/2006,132.52,130.24,128.79,1.45,1.32,64.76,60.86
SPY,12/05/2006,129.24,130.06,128.83,1.23,1.31,54.05,59.87
SPY,19/05/2006,127.10,129.52,128.67,0.85,1.25,48.45,58.33
SPY,26/05/2006,128.38,129.31,128.64,0.67,1.18,51.66,56.29
SPY,02/06/2006,129.00,129.26,128.67,0.58,1.10,53.17,54.42
SPY,09/06/2006,125.35,128.55,128.36,0.19,0.99,44.40,50.35
SPY,16/06/2006,124.65,127.84,128.00,-0.17,0.84,42.95,48.13
SPY,23/06/2006,124.44,127.22,127.66,-0.44,0.68,42.50,46.94
SPY,30/06/2006,127.28,127.23,127.63,-0.40,0.55,50.05,46.62
SPY,07/07/2006,126.61,127.12,127.53,-0.41,0.43,48.44,45.67
SPY,14/07/2006,123.52,126.46,127.15,-0.69,0.29,41.81,45.15
SPY,21/07/2006,123.95,126.01,126.84,-0.84,0.15,42.97,45.15
SPY,28/07/2006,127.98,126.37,126.95,-0.59,0.06,52.51,47.16
SPY,04/08/2006,128.20,126.70,127.07,-0.37,0.00,52.97,47.74
SPY,11/08/2006,127.01,126.76,127.07,-0.31,-0.04,50.16,48.08
SPY,18/08/2006,130.69,127.47,127.41,0.06,-0.02,57.62,51.25
SPY,25/08/2006,129.81,127.90,127.64,0.26,0.01,55.49,53.75
SPY,01/09/2006,131.42,128.54,128.00,0.54,0.08,58.50,54.95
SPY,08/09/2006,130.28,128.85,128.22,0.64,0.15,55.65,55.48
SPY,15/09/2006,131.96,129.42,128.57,0.85,0.23,58.82,57.21
SPY,22/09/2006,131.47,129.79,128.85,0.94,0.32,57.53,57.20
SPY,29/09/2006,133.58,130.48,129.30,1.18,0.43,61.42,58.38
SPY,06/10/2006,135.01,131.30,129.84,1.46,0.56,63.83,59.45
SPY,13/10/2006,136.63,132.27,130.49,1.78,0.71,66.37,61.59
SPY,20/10/2006,136.84,133.10,131.09,2.01,0.87,66.70,63.17
SPY,27/10/2006,137.91,133.98,131.74,2.23,1.04,68.37,65.34
SPY,03/11/2006,136.54,134.44,132.20,2.24,1.19,63.96,65.84
SPY,10/11/2006,138.24,135.13,132.78,2.36,1.34,66.81,66.44
SPY,17/11/2006,140.42,136.09,133.50,2.59,1.50,70.05,67.18
SPY,24/11/2006,140.35,136.87,134.16,2.71,1.65,69.82,67.80
SPY,01/12/2006,140.22,137.48,134.73,2.74,1.78,69.35,68.00
SPY,08/12/2006,141.42,138.19,135.37,2.82,1.91,71.24,69.45
SPY,15/12/2006,142.34,138.95,136.03,2.91,2.04,72.62,70.62
SPY,22/12/2006,140.75,139.28,136.48,2.79,2.13,66.68,69.94
SPY,29/12/2006,141.62,139.70,136.97,2.73,2.21,68.21,69.62
SPY,05/01/2007,140.54,139.85,137.31,2.54,2.25,64.30,68.61
SPY,12/01/2007,143.24,140.47,137.88,2.59,2.29,69.05,68.17
SPY,19/01/2007,142.82,140.90,138.35,2.55,2.33,67.55,67.16
SPY,26/01/2007,142.13,141.12,138.71,2.41,2.34,65.06,66.83
SPY,02/02/2007,144.81,141.79,139.29,2.50,2.36,69.71,67.13
SPY,09/02/2007,143.94,142.18,139.73,2.45,2.37,66.63,67.60
SPY,16/02/2007,145.73,142.83,140.30,2.52,2.39,69.59,67.71
SPY,23/02/2007,145.30,143.28,140.78,2.50,2.40,68.03,67.80
SPY,02/03/2007,138.67,142.44,140.58,1.86,2.33,49.70,64.73
SPY,09/03/2007,140.78,142.14,140.60,1.54,2.24,53.94,61.58
SPY,16/03/2007,138.53,141.48,140.40,1.08,2.09,49.21,58.09
SPY,23/03/2007,143.39,141.83,140.69,1.14,1.97,57.78,55.73
SPY,30/03/2007,142.00,141.86,140.81,1.05,1.86,54.94,53.11
SPY,05/04/2007,144.24,142.29,141.14,1.16,1.77,58.46,54.86
SPY,13/04/2007,145.32,142.84,141.54,1.31,1.71,60.07,56.09
SPY,20/04/2007,148.62,143.89,142.21,1.68,1.71,64.58,59.17
