Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,11/08/2011,738.08,754.21,744.75,9.47,10.99,50.88,58.81
SET50,19/08/2011,742.86,752.15,744.57,7.58,10.56,51.87,57.52
SET50,26/08/2011,721.84,746.64,742.40,4.24,9.77,47.36,54.23
SET50,02/09/2011,742.30,745.85,742.39,3.46,8.98,51.74,51.59
SET50,09/09/2011,739.73,744.74,742.14,2.60,8.19,51.17,50.60
SET50,16/09/2011,718.64,739.99,739.90,0.09,7.17,46.63,49.75
SET50,23/09/2011,667.02,726.72,732.96,-6.24,5.50,37.83,46.94
SET50,30/09/2011,636.30,710.28,723.75,-13.47,3.13,33.77,44.22
SET50,07/10/2011,636.07,696.79,715.40,-18.61,0.41,33.74,40.62
SET50,14/10/2011,673.43,692.54,711.41,-18.86,-2.00,42.37,38.87
SET50,21/10/2011,644.80,683.86,705.06,-21.20,-4.40,38.28,37.19
SET50,28/10/2011,691.99,685.34,703.82,-18.48,-6.16,47.27,39.08
SET50,04/11/2011,675.61,683.57,701.13,-17.56,-7.58,44.84,41.30
SET50,11/11/2011,683.01,683.47,699.40,-15.94,-8.63,46.18,43.79
SET50,18/11/2011,688.80,684.44,698.39,-13.96,-9.29,47.26,44.77
SET50,25/11/2011,675.60,682.83,696.22,-13.39,-9.81,45.06,46.12
SET50,02/12/2011,724.23,690.36,698.89,-8.53,-9.65,53.58,47.38
SET50,09/12/2011,725.92,696.82,701.47,-4.64,-9.02,53.84,49.18
SET50,16/12/2011,726.49,702.22,703.85,-1.63,-8.10,53.94,50.74
SET50,23/12/2011,727.97,706.90,706.15,0.75,-6.99,54.20,52.12
SET50,30/12/2011,718.40,708.99,707.31,1.68,-5.91,52.13,53.54
SET50,06/01/2012,725.69,712.03,709.06,2.96,-4.80,53.58,53.54
SET50,13/01/2012,730.40,715.37,711.10,4.27,-3.66,54.53,53.68
SET50,20/01/2012,739.56,719.77,713.81,5.96,-2.46,56.39,54.17
SET50,27/01/2012,752.18,725.66,717.46,8.20,-1.13,58.88,55.10
SET50,03/02/2012,768.96,733.53,722.37,11.17,0.41,61.96,57.07
SET50,10/02/2012,781.21,742.20,727.97,14.23,2.14,64.07,59.17
SET50,17/02/2012,794.86,751.78,734.34,17.44,4.05,66.30,61.52
SET50,24/02/2012,808.27,762.05,741.38,20.67,6.13,68.37,63.92
SET50,02/03/2012,821.18,772.80,748.98,23.82,8.34,70.25,66.19
SET50,09/03/2012,814.89,780.45,755.26,25.19,10.44,68.13,67.43
SET50,16/03/2012,838.44,790.99,763.18,27.81,12.62,71.57,68.93
SET50,23/03/2012,841.76,800.22,770.66,29.56,14.73,72.03,70.07
SET50,30/03/2012,842.91,807.99,777.54,30.44,16.70,72.19,70.84
SET50,05/04/2012,831.74,812.30,782.71,29.60,18.31,68.01,70.39
SET50,12/04/2012,821.45,813.97,786.40,27.57,19.47,64.33,69.62
SET50,20/04/2012,839.45,818.60,791.45,27.15,20.43,67.61,68.83
SET50,27/04/2012,850.11,824.33,797.04,27.29,21.29,69.40,68.31
SET50,04/05/2012,861.93,831.17,803.22,27.95,22.12,71.28,68.13
SET50,11/05/2012,833.65,831.62,806.11,25.50,22.54,61.57,66.84
SET50,18/05/2012,806.71,827.09,806.17,20.92,22.34,54.05,64.78
SET50,25/05/2012,786.87,819.78,804.33,15.44,21.48,49.30,61.12
SET50,01/06/2012,772.39,811.16,801.29,9.87,20.03,46.13,56.47
SET50,08/06/2012,783.68,806.16,799.61,6.55,18.34,48.88,51.99
SET50,15/06/2012,812.56,807.33,800.85,6.48,16.86,55.14,50.70
SET50,22/06/2012,800.07,806.01,800.77,5.24,15.41,52.18,50.33
SET50,29/06/2012,814.38,807.53,802.07,5.46,14.16,55.14,51.49
SET50,06/07/2012,833.94,812.33,805.10,7.23,13.30,58.87,54.04
SET50,13/07/2012,841.59,817.65,808.58,9.07,12.77,60.25,56.32
SET50,20/07/2012,836.99,821.17,811.28,9.88,12.41,58.97,57.08
SET50,27/07/2012,812.36,819.57,811.39,8.18,11.88,52.57,57.16
